category,exit_mode,bt_trades,total_pnl,return_pct,win_rate,max_drawdown,profit_factor
finance,240m,1753,24885.50558244116,2.4885505582441163,0.3057615516257844,0.3063238055423135,1.7107693860035125
finance,60m,1696,26757.433328917738,2.675743332891774,0.2794811320754717,0.1873151564451671,2.0779799741402374
finance,expiry,738,22685.163692414502,2.2685163692414503,0.6463414634146342,0.2727758936739174,1.4748185082827228
geopolitics,240m,5590,10484.145005165636,1.0484145005165637,0.2914132379248658,0.8975068411402659,1.0913681157402226
geopolitics,60m,6518,24315.132667235528,2.431513266723553,0.2623504142374961,0.5170650824174942,1.2482682421370872
geopolitics,expiry,267,-6950.159682380086,-0.6950159682380086,0.6741573033707865,0.8572997661108461,0.7333028419447739
politics,240m,4285,19385.280048049117,1.9385280048049116,0.3052508751458576,0.2128974777884095,1.2139367392068603
politics,60m,4994,20730.23007063989,2.073023007063989,0.2745294353223869,0.2824938531073295,1.2639596036702505
politics,expiry,147,-9740.394862083767,-0.9740394862083768,0.4897959183673469,0.980177006476008,0.5773235694763276
sports,240m,1137,14984.378187115331,1.4984378187115333,0.3729111697449428,0.427360745981108,1.2814172053864563
sports,60m,1578,7864.773777861119,0.7864773777861119,0.3580481622306717,0.3109945644820742,1.1537935443084986
sports,expiry,686,21820.778382370856,2.1820778382370856,0.380466472303207,0.392026741569251,1.2744073998846634
tech,240m,4081,502.7389042383184,0.0502738904238318,0.1776525361431021,0.5183279988078795,1.0097178537798142
tech,60m,4665,-3164.676015563009,-0.3164676015563009,0.1472668810289389,0.591796460037824,0.9363212849923256
tech,expiry,181,-6013.750750946277,-0.6013750750946276,0.5193370165745856,0.6465434699097002,0.6262239752934974
